element,ENCUT,mag_moment,POTCAR
H,250,0,H
He,479,0,He
Li,499,0,Li_sv
Be,248,0,Be
B,319,0,B
C,400,0,C
N,400,0,N
O,400,0,O
F,400,0,F
Ne,344,0,Ne
Na,260,0,Na_pv
Mg,200,0,Mg
Al,240,,Al
Si,245,0,Si
P,255,0,P
S,259,0,S
Cl,262,0,Cl
Ar,266,0,Ar
K,259,0,K_sv
Ca,267,0,Ca_sv
Sc,223,0,Sc_sv
Ti,275,0,Ti_sv
V,264,0,V_sv
Cr,266,0.5,Cr_pv
Mn,270,2,Mn_pv
Fe,268,2,Fe
Co,268,1,Co
Ni,270,0,Ni
Cu,295,0,Cu
Zn,277,0,Zn
Ga,283,0,Ga_d
Ge,310,0,Ge_d
As,209,0,As
Se,212,0,Se
Br,216,0,Br
Kr,185,0,Kr
Rb,220,0,Rb_sv
Sr,229,0,Sr_sv
Y,203,0,Y_sv
Zr,230,0,Zr_sv
Nb,293,0,Nb_sv
Mo,243,0,Mo_sv
Tc,264,0,Tc_pv
Ru,240,0,Ru_pv
Rh,247,0,Rh_pv
Pd,251,0,Pd
Ag,250,0,Ag
Cd,274,0,Cd
In,239,0,In_d
Sn,241,,Sn_d
Sb,172,0,Sb
Te,175,0,Te
I,176,0,I
Xe,153,0,Xe
Cs,220,,Cs_sv
Ba,187,,Ba_sv
La,219,0,La
Ce,273,2,Ce
Pr,182,3,Pr_3
Nd,183,3,Nd_3
Pm,177,2,Pm_3
Sm,177,1,Sm_3
Eu,99,0,Eu_2
Gd,154,7,Gd_3
Tb,156,9,Tb_3
Dy,156,10,Dy_3
Ho,154,10,Ho_3
Er,155,10,Er_3
Tm,149,7,Tm_3
Yb,113,4,Yb_2
Lu,155,0,Lu_3
Hf,220,,Hf_pv
Ta,224,,Ta_pv
W,223,,W_pv
Re,226,,Re
Os,228,,Os
Ir,211,,Ir
Pt,230,,Pt
Au,230,0,Au
Hg,233,0,Hg
Tl,237,0,Tl
Pb,238,0,Pb
Bi,243,0,Bi
Po,265,,Po
At,266,,At
Rn,152,,Rn
Fr,215,,Fr
Ra,237,,Ra
Ac,172,,Ac
Th,247,,Th
Pa,252,,Pa
U,253,,U
Np,254,,Np
Pu,254,,Pu
Am,256,,Am
Cm,258,,Cm
